CODE_ISO3,nom,DEN99,URB00,AGR00,JEU99,VIE99,TMI99,EVH99,EVF99,PNB97,PIB99,ALP95,SCO95,ISF99
TZA,Tanzanie,"33","28","80","45","3","100","45","49","210","553","68","33",5.7
COD,Congo. (Rép.dém.du. ex-Zaïre),"22","30","63","48","3","106","47","51","110","531","77","41",6.6
KEN,Kenya,"50","33","75","46","3","74","48","49","340","1306","78","52",4.7
SDN,Soudan,"12","36","61","43","3","70","50","52","290","401","46","32",4.6
TCD,Tchad,"6","24","75","44","3","110","45","50","230","584","48","27",6.6
ZAF,Afrique du Sud,"35","50","10","34","5","52","55","60","3210","4284","82","81",3.3
ZWE,Zimbabwe,"29","35","63","44","3","53","40","40","720","1893","85","69",4
BWA,Botswana,"3","74","44","39","5","56","40","41","3310","5933","70","71",4.1
NAM,Namibie,"2","41","41","44","4","68","42","42","2110","5300","76","83",5.1
SEN,Sénégal,"47","47","74","45","3","68","51","54","540","1576","33","33",5.7
MLI,Mali,"9","30","81","47","4","123","45","47","260","527","31","18",6.7
MRT,Mauritanie,"3","58","53","45","3","92","52","55","440","1038","38","38",5.5
BEN,Bénin,"55","42","54","49","3","94","51","55","380","1403","37","38",6.3
NER,Niger,"8","21","88","48","2","123","41","40","200","530","14","15",7.5
NGA,Nigeria,"123","44","33","45","3","73","53","55","280","1268","57","49",6.2
CMR,Cameroun,"33","49","59","44","4","77","53","56","620","1703","63","45",5.2
TGO,Togo,"79","33","60","46","3","80","48","50","340","667","52","60",5.4
GHA,Ghana,"82","38","57","46","3","66","57","61","390","1685","65","44",5.4
CIV,Côte d'Ivoire,"49","47","49","43","3","98","45","48","710","1532","40","38",6.1
GIN,Guinée,"30","33","84","46","3","134","43","48","550","933","36","25",5.7
GNB,Guinée-Bissau,"33","24","83","43","4","136","43","46","230","833","55","29",5.9
SLE,Sierra Leone,"74","37","62","45","3","136","45","51","160","472","31","30",6.3
BFA,Burkina Faso,"42","18","92","48","3","94","46","47","250","552","19","19",6.7
CAF,Centrafricaine (République),"5","41","73","44","4","97","44","48","320","618","60","27",5.1
COG,Congo,"8","63","41","43","3","107","45","49","670","2000","75","68",5.1
GAB,Gabon,"4","55","38","39","6","87","51","54","4120","6750","63","60",5.4
GNQ,Guinée équatoriale,"16","48","70","43","4","117","46","50","1060","4091","79","64",5.9
ZMB,Zambie,"13","45","69","45","3","109","37","38","370","773","78","52",6.1
MWI,Malawi,"85","15","83","48","3","137","36","36","210","800","56","76",5.9
MOZ,Mozambique,"24","40","81","46","2","134","43","46","140","225","40","25",5.6
AGO,Angola,"10","34","72","48","3","125","45","48","260","816","42","30",6.8
BDI,Burundi,"204","9","90","48","3","105","44","47","140","509","35","23",6.5
MDG,Madagascar,"25","30","74","44","3","96","51","53","250","785","46","31",6
GMB,Gambie,"118","32","79","41","3","130","43","47","340","692","39","39",5.6
TUN,Tunisie,"58","66","25","35","5","35","67","70","2110","5253","67","69",2.8
DZA,Algérie,"13","59","24","39","4","44","67","69","1500","2948","62","66",4.1
MAR,Maroc,"63","55","36","34","5","37","67","71","1260","3613","44","48",3.1
EGY,Égypte,"67","46","33","39","4","52","64","67","1200","4254","51","69",3.3
LBY,Libye,"3","88","6","39","4","33","73","77","2000","4880","76","90",4.1
ETH,Éthiopie,"54","18","82","46","3","128","41","42","110","591","36","20",7
DJI,Djibouti,"27","83","79","41","3","115","47","50","350","952","46","20",5.8
UGA,Ouganda,"95","14","80","47","3","81","41","42","330","1136","62","38",6.9
 , ,"0","0","0","0","0","0","0","0","0","0","0","0",0
 , ,"0","0","0","0","0","0","0","0","0","0","0","0",0
 , ,"0","0","0","0","0","0","0","0","0","0","0","0",0
 , ,"0","0","0","0","0","0","0","0","0","0","0","0",0
 , ,"0","0","0","0","0","0","0","0","0","0","0","0",0
 , ,"0","0","0","0","0","0","0","0","0","0","0","0",0
 , ,"0","0","0","0","0","0","0","0","0","0","0","0",0
 , ,"0","0","0","0","0","0","0","0","0","0","0","0",0
 , ,"0","0","0","0","0","0","0","0","0","0","0","0",0
